"ID","Operator","Short name","Contact email for complaints (this is the most important data to collect!)","Status","Company Number","Company's Registered Postal Address","Notes/Observations of Interest","URL","Number of Routes we think this operator runs (for sorting)","Non-functional URL - has list of routes"
3566,"Andrew Wallbank","Andrew Wallbank Ltd",,,,,,,2,"http://transport.mysociety.org/operators/3566"
3006,"Andrew's Coaches","Andrew's Coaches",,,,,,,5,"http://transport.mysociety.org/operators/3006"
3060,"Andrews","Andrews",,,,,,,3,"http://transport.mysociety.org/operators/3060"
1854,"ANDYBUS & COACH LTD","ANDYBUS & COACH LTD",,,,,,,8,"http://transport.mysociety.org/operators/1854"
1875,"Anglian Bus & Coach","Anglian Bus & Coach","office@anglianbus.co.uk",,1260689,"Beccles Business Park, Beccles, Suffolk NR34 7TH",,,43,"http://transport.mysociety.org/operators/1875"
2072,"Anitas Coaches","Anitas Coaches","anitas.coaches@btconnect.com","C",2012724,,,,1,"http://transport.mysociety.org/operators/2072"
2268,"Apollo 8","Apollo 8",,,,,,,2,"http://transport.mysociety.org/operators/2268"
1842,"Applegates Supreme","APPLEGATES COACHES",,,,,,,3,"http://transport.mysociety.org/operators/1842"
2796,"Archway Travel","Archway Travel",,,,,,,13,"http://transport.mysociety.org/operators/2796"
2030,"Ardnamurchan Charters","Ardnamurchan Charters","ardcharters@aol.com",,,"Laga Bay, Glenborrodale, Acharacle, Lochaber PH36 4JW",,,1,"http://transport.mysociety.org/operators/2030"
2736,"Argyll + Bute Council Ferries","Argyll + Bute Council Fe",,,,,,,4,"http://transport.mysociety.org/operators/2736"
3891,"Arriva","AEH",,,,,,,21,"http://transport.mysociety.org/operators/3891"
3280,"Arriva Cymru","Arriva Cymru","customer.services@arrivatrainswales.co.uk",,155374,"1 ADMIRAL WAY DOXFORD 
INTERNATIONAL BUSINESS PARK 
SUNDERLAND 
TYNE & WEAR 
SR3 3XP",,"www.arrivatrainswales.co.uk",134,"http://transport.mysociety.org/operators/3280"
2982,"ARRIVA Cymru","Arriva",,,,,,,17,"http://transport.mysociety.org/operators/2982"
2041,"Arriva Derby","Arriva Derby",,,2362274,,,,36,"http://transport.mysociety.org/operators/2041"
2508,"Arriva Kent & Sussex","Arriva Kent & Sussex",,,114841,"1 ADMIRAL WAY DOXFORD 
INTERNATIONAL BUSINESS PARK 
SUNDERLAND 
TYNE & WEAR 
SR3 3XP ",,,88,"http://transport.mysociety.org/operators/2508"
2510,"Arriva Kent Thameside","Arriva Kent Thameside",,,,,,,27,"http://transport.mysociety.org/operators/2510"
3452,"ARRIVA LIVERPOOL LIMITED","Arriva Liverpool Limited","customer.services@arrivanw.co.uk",,,,,,21,"http://transport.mysociety.org/operators/3452"
2522,"Arriva London South","Arriva London South",,,,,,,2,"http://transport.mysociety.org/operators/2522"
2274,"ARRIVA Manchester","Arriva","customer.services@arrivanw.co.uk",,,,,,17,"http://transport.mysociety.org/operators/2274"
2777,"ARRIVA MANCHESTER LTD.","Arriva Manchester",,,,,,,49,"http://transport.mysociety.org/operators/2777"
2142,"Arriva Medway Towns","Arriva Medway Towns",,,3943257,,,,61,"http://transport.mysociety.org/operators/2142"
1805,"ARRIVA Merseyside","Arriva","customer.services@arrivanw.co.uk",,,,,,6,"http://transport.mysociety.org/operators/1805"
3811,"Arriva Merseyside Ltd","Arriva Merseyside","customer.services@arrivanw.co.uk",,,,,,2,"http://transport.mysociety.org/operators/3811"
2155,"Arriva Midlands","Arriva Midlands",,,,,,,11,"http://transport.mysociety.org/operators/2155"
2842,"ARRIVA MTL LANCS","Arriva",,,,,,,27,"http://transport.mysociety.org/operators/2842"
1786,"ARRIVA MTL LANCS","Arriva",,,,,,,10,"http://transport.mysociety.org/operators/1786"
2204,"ARRIVA MTL LIVERPOOL","Arriva",,,,,,,13,"http://transport.mysociety.org/operators/2204"
2819,"ARRIVA MTL NORTH","Arriva",,,,,,,15,"http://transport.mysociety.org/operators/2819"
2826,"ARRIVA MTL SOUTH","Arriva",,,,,,,32,"http://transport.mysociety.org/operators/2826"
2836,"ARRIVA MTL SOUTHPORT","Arriva",,,,,,,21,"http://transport.mysociety.org/operators/2836"
2829,"ARRIVA MTL WIRRAL","Arriva",,,,,,,25,"http://transport.mysociety.org/operators/2829"
1791,"ARRIVA MTL WIRRAL","Arriva",,,,,,,17,"http://transport.mysociety.org/operators/1791"
3013,"Arriva North East","Arriva North East","csnortheast@arriva-shires.com",,121299,"Arriva plc
1 Admiral Way
Doxford International Business Park
SUNDERLAND
SR3 3XP",,,158,"http://transport.mysociety.org/operators/3013"
2863,"Arriva North East","Arriva North East",,,,,,,22,"http://transport.mysociety.org/operators/2863"
3074,"Arriva North West Ltd","Arriva North West Ltd","customer.services@arrivanw.co.uk",,,,,,98,"http://transport.mysociety.org/operators/3074"
3871,"Arriva Northumbria","Arriva Northumbria",,"x",237558,,"Arriva have the same problems as First - there's a form but no separate email address","http://www.arrivabus.co.uk/contact-arriva/",116,"http://transport.mysociety.org/operators/3871"
3572,"Arriva Scotland West","Arriva",,,"SC128566",,,,35,"http://transport.mysociety.org/operators/3572"
2144,"Arriva Southend","Arriva Southend",,,1992873,,,,18,"http://transport.mysociety.org/operators/2144"
2487,"Arriva Surrey & West Sussex","Arriva Surrey & West Sus",,,,"Friary Bus Station, Guildford, GU1 4YP",,,36,"http://transport.mysociety.org/operators/2487"
2152,"Arriva the Shires & Essex","Arriva the Shires & Esse","customerservice@arriva-shires.com",,2116519,"Arriva plc
1 Admiral Way
Doxford International Business Park
SUNDERLAND
SR3 3XP","Seems to be registered as ""Arriva the Shires Limited"", no mention of Essex.",,232,"http://transport.mysociety.org/operators/2152"
1911,"ARRIVA Trains Wales","ARRIVA Trains Wales","customer.services@arrivatrainswales.co.uk",,4337645,,,,26,"http://transport.mysociety.org/operators/1911"
2105,"Arriva Yorkshire","Arriva Yorkshire",,,347103,"    FREEPOST NEA 4591
    Wakefield
    WF1 4BR",,,112,"http://transport.mysociety.org/operators/2105"
3640,"Arrowebrook Coaches Ltd","Arrowebrook Coaches Ltd","Arrowebrook@fsmail.net",,,,,,5,"http://transport.mysociety.org/operators/3640"
1996,"ASD Coaches","ASD Coaches",,,,,,,10,"http://transport.mysociety.org/operators/1996"
2170,"Ashford Luxury Coaches","Ashford Luxury Coaches",,"X",,,"No email found. See http://ashfordluxurycoaches.web.officelive.com/contactus.aspx",,1,"http://transport.mysociety.org/operators/2170"
1877,"ASTONS COACHES","ASTONS COACHES",,,,,,,5,"http://transport.mysociety.org/operators/1877"
1991,"Atbus","Atbus",,,,,,,6,"http://transport.mysociety.org/operators/1991"
1856,"Atkinson's Coaches","Atkinson's Coaches",,,,,,,4,"http://transport.mysociety.org/operators/1856"
3179,"Atlantic Ferries","Atlantic Ferries","bookings@atlanticferries.co.uk",,,,,"http://www.atlanticferries.co.uk/",1,"http://transport.mysociety.org/operators/3179"
2181,"Autocar Bus & Coach Services","Autocar Bus & Coach Serv",,,,,,,16,"http://transport.mysociety.org/operators/2181"
3595,"Autumn Travel Ltd","Autumn Travel Ltd",,,,,,,2,"http://transport.mysociety.org/operators/3595"
3237,"Avacab Ltd","Avacab Ltd","info@avacab.net",,,"Leyland, PR25 2YB",,"http://www.avacab.net/",1,"http://transport.mysociety.org/operators/3237"
3513,"AVON COACHES","Avon Coaches",,,,,,,15,"http://transport.mysociety.org/operators/3513"
3655,"AVON COACHES","Avon Coaches",,,,,,,7,"http://transport.mysociety.org/operators/3655"
2157,"Avon Coaches","Avon Coaches","Enquiries@avonbuses.com",,,,,,2,"http://transport.mysociety.org/operators/2157"
2530,"Avondale Coaches","Avondale Coaches","info@avondalecoaches.co.uk",,,,,,7,"http://transport.mysociety.org/operators/2530"
2133,"Awayadays","Awayadays",,,,,,,2,"http://transport.mysociety.org/operators/2133"
2153,"Awe Service Station","Awe Service Station",,,,"Taynuilt, PA35 1HT","No email found.",,1,"http://transport.mysociety.org/operators/2153"
1916,"AXE VALE COACHES","AXE VALE COACHES","enquiries@axevale.com",,,,,"http://www.axevale.com/",1,"http://transport.mysociety.org/operators/1916"
1906,"AXE VALLEY MINI-TRAVEL","AXE VALLEY MINI-TRAVEL",,,,,,,11,"http://transport.mysociety.org/operators/1906"
2076,"B & J Travel Ltd","B & J Travel",,,,,,,3,"http://transport.mysociety.org/operators/2076"
3579,"B & N Coaches","B & N Coaches",,,,,,,4,"http://transport.mysociety.org/operators/3579"
2901,"B Aston","KWT COACHES",,,,,,,5,"http://transport.mysociety.org/operators/2901"
1984,"B L Travel","B L Travel",,,,,,,2,"http://transport.mysociety.org/operators/1984"
2837,"BAA - free inter-terminal shuttle train at Gatwick","BAA - free inter-termina",,,,,,,1,"http://transport.mysociety.org/operators/2837"
2088,"Bagnalls","Bagnalls",,,,,,,10,"http://transport.mysociety.org/operators/2088"
3587,"Bains Chauffeur Drive","Bains Chauffeur Drive",,,,,"No email online. 01651 872365",,1,"http://transport.mysociety.org/operators/3587"
2100,"Bains Coaches","Bains Coaches",,,,,,,6,"http://transport.mysociety.org/operators/2100"
3037,"Bakers","Bakers","sales@bakerscoaches.com",,,,,,1,"http://transport.mysociety.org/operators/3037"
3328,"Bakers Coaches","Bakers Coaches",,,,,,,15,"http://transport.mysociety.org/operators/3328"
2104,"Bakers Coaches","Baker's Buses/Coaches Gu",,,,,,,14,"http://transport.mysociety.org/operators/2104"
1765,"Bakers Commercial Services","Bakers Commercial Servic",,,,,,,5,"http://transport.mysociety.org/operators/1765"
3689,"Bakers Dolphin","BAKERS COACHES",,,,,,,8,"http://transport.mysociety.org/operators/3689"
2116,"Banga Travel","BANGA TRAVEL",,,,,,,4,"http://transport.mysociety.org/operators/2116"
2086,"Barnards Coaches","Barnards Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2086"
1780,"Barnes Coaches","Barnes Coaches",,,,,"More than one Barnes Coaches online.",,1,"http://transport.mysociety.org/operators/1780"
2924,"Barrons Mini Buses","Barrons Mini Buses",,,,,"No email online.",,1,"http://transport.mysociety.org/operators/2924"
2090,"BATH & NE SOMERSET COUNC","BATH & NE SOMERSET COUNC","transportation@bathnes.gov.uk",,,"Riverside, Temple Street, Keynsham, Bristol, BS31 1LA","Name is ""Bath & North East Somerset Council""",,2,"http://transport.mysociety.org/operators/2090"
1935,"Battersby Silver Grey Coaches","Battersby Silver Grey Co",,,,,,,14,"http://transport.mysociety.org/operators/1935"
1770,"Battle Area Community Transport","Battle Area Community Tr",,,,,,,8,"http://transport.mysociety.org/operators/1770"
2178,"Baynes Taxis","Baynes Taxis","info@baynestravel.com",,,,,,1,"http://transport.mysociety.org/operators/2178"
1987,"Bear Buses","Bear Buses",,,,,,,3,"http://transport.mysociety.org/operators/1987"
3964,"Beaver Bus","Beaver Bus",,,,,,,4,"http://transport.mysociety.org/operators/3964"
2899,"BEBB TRAVEL","BEBB TRAVEL",,,,,,,1,"http://transport.mysociety.org/operators/2899"
2821,"Bebb Travel PLC","Bebb Travel PLC",,,,,,,1,"http://transport.mysociety.org/operators/2821"
3781,"BEELINE COACHES","BEELINE COACHES",,,,,,,10,"http://transport.mysociety.org/operators/3781"
1781,"Beestons","Beestons",,,,,,,8,"http://transport.mysociety.org/operators/1781"
2410,"BELLE VUE MANCHESTER LTD","Belle Vue Coaches","ianb@bellevue-mcr.com",,,,,,3,"http://transport.mysociety.org/operators/2410"
2706,"Bells Coaches","Bells Coaches",,,,,"More than one Bells Coaches online.",,1,"http://transport.mysociety.org/operators/2706"
2277,"Ben George Travel","Ben George Travel",,,,,,,1,"http://transport.mysociety.org/operators/2277"
3715,"BENNETTS","BENNETTS",,,,,,,2,"http://transport.mysociety.org/operators/3715"
2952,"Bennetts Travel","Bennetts Travel Cranberr",,,,,,,15,"http://transport.mysociety.org/operators/2952"
3635,"BERKLEY COACH & TRAVEL","BERKLEY COACH & TRAVEL",,,,,,,2,"http://transport.mysociety.org/operators/3635"
3772,"BERRY'S COACHES","BERRY'S COACHES",,,,,,,5,"http://transport.mysociety.org/operators/3772"
1789,"Bexhill Community Bus","Bexhill Community Bus",,,,,,,4,"http://transport.mysociety.org/operators/1789"
2652,"BIG YELLOW BUS","BIG YELLOW BUS",,,,,,,3,"http://transport.mysociety.org/operators/2652"
2334,"Bigfield's Coaches","Bigfield's Coaches",,,,,,,2,"http://transport.mysociety.org/operators/2334"
3742,"Billies Coaches","Billies Coaches",,,,,"No email found online.",,1,"http://transport.mysociety.org/operators/3742"
1964,"Birmingham International","Birmingham International",,,,,,,1,"http://transport.mysociety.org/operators/1964"
1772,"Birtles Mini Coaches","Birtles Mini Coaches",,,,,,,2,"http://transport.mysociety.org/operators/1772"
2794,"BLACK VELVET TRAVEL","BLACK VELVET TRAVEL",,,,,,,11,"http://transport.mysociety.org/operators/2794"
3764,"Blackpool Transport Services Ltd","Blackpool Transport","bryan.lindop@blackpooltransport.com",,,,,,36,"http://transport.mysociety.org/operators/3764"
2787,"Blue Bus","Blue Bus",,,,,,,6,"http://transport.mysociety.org/operators/2787"
3805,"Blue Bus (Lancashire) Ltd","Blue Bus","bluebus-preston@tiscali.co.uk",,,,,,9,"http://transport.mysociety.org/operators/3805"
2110,"Blue Buses","Scragg's Taxis and Coach",,,,,,,5,"http://transport.mysociety.org/operators/2110"
3693,"BLUE IRIS COACHES","BLUE IRIS COACHES","enquiry@blueiris.co.uk",,,,,,1,"http://transport.mysociety.org/operators/3693"
1803,"Blue Triangle","Blue Triangle",,,,,,,8,"http://transport.mysociety.org/operators/1803"
3107,"BLUEBIRD BUS & COACH","Bluebird Bus & Coach","bluebirdbuses@googlemail.com",,"SC019039",,,,22,"http://transport.mysociety.org/operators/3107"
3896,"Blueline Coaches & Taxis","Blueline Coaches And Tax",,,,,,,3,"http://transport.mysociety.org/operators/3896"
2327,"BLUESTAR","BLUESTAR","managersmailbox@bluestar.co.uk",,,,,,38,"http://transport.mysociety.org/operators/2327"
3536,"Blueworks Private Hire","Blueworks Private Hire",,,,,,,4,"http://transport.mysociety.org/operators/3536"
2044,"Bo'ness and Kinneil Railway","Bo'ness and Kinneil Rail",,,,,,,1,"http://transport.mysociety.org/operators/2044"
3431,"Bob's Minibus","Bob's Minibus",,,,,,,1,"http://transport.mysociety.org/operators/3431"
2772,"BODMANS","BODMANS",,,,,,,34,"http://transport.mysociety.org/operators/2772"
2763,"Bon Chaunce Ltd","Bon Chaunce Coaches",,,,,,,7,"http://transport.mysociety.org/operators/2763"
2451,"Border Mobility Transpor","Border Mobility Transpor",,,,,,,3,"http://transport.mysociety.org/operators/2451"
3293,"Border Villager","Border Villager",,,,,,,1,"http://transport.mysociety.org/operators/3293"
2080,"BOROUGH OF WARRINGTON T/PORT","Warrington Borough Trans",,,,,,,2,"http://transport.mysociety.org/operators/2080"
2991,"Bostocks Coaches","Bostocks Coaches","bostocks@holmeswood.uk.com",,,,,,1,"http://transport.mysociety.org/operators/2991"
2377,"Boultons","Boultons",,,,,,,1,"http://transport.mysociety.org/operators/2377"
2425,"Bournemouth Transport","TRANSDEV YELLOW BUSES","wecanhelp@yellowbuses.co.uk",,,,,,23,"http://transport.mysociety.org/operators/2425"
3606,"Bowmans Coaches (Mull)","Bowmans Coaches (Mull)",,,,,,,2,"http://transport.mysociety.org/operators/3606"
3096,"Bradshaws Travel","Bradshaw's Executive Tra",,,,,,,4,"http://transport.mysociety.org/operators/3096"
2897,"Bremners Coaches","Bremners Coaches",,,,,"No email address found online.",,1,"http://transport.mysociety.org/operators/2897"
2106,"Bretherton Gold Line Tours Ltd","Bretherton Gold Line Tou","admin@brethertonsgoldline.co.uk",,,,,,1,"http://transport.mysociety.org/operators/2106"
1823,"Brighton & Hove Bus and Coach Company","Brighton & Hove Bus and","info@buses.co.uk",,307468,"3RD FLOOR 
41-51 GREY STREET 
NEWCASTLE UPON TYNE 
NE1 6EE ","Part of the ""Go Ahead Group""",,99,"http://transport.mysociety.org/operators/1823"
3720,"BRIJAN TOURS","BRIJAN TOURS","info@brijantours.com",,,,,,7,"http://transport.mysociety.org/operators/3720"
3628,"BRISTOL FERRY BOAT COMPA","BRISTOL FERRY BOAT COMPA",,,,,,,3,"http://transport.mysociety.org/operators/3628"
3258,"Bromyard Omnibus Company","Bromyard Omnibus Co., Br",,,,,,,9,"http://transport.mysociety.org/operators/3258"
1771,"Broons Buses and Taxis","Broons Buses and Taxis",,,,,,,4,"http://transport.mysociety.org/operators/1771"
3320,"Bruce Watt Cruises","Bruce Watt Cruises","brucewattcruises@aol.com",,,,,,1,"http://transport.mysociety.org/operators/3320"
2953,"Brylaine Travel","Brylaine Travel",,,4199399,,,,38,"http://transport.mysociety.org/operators/2953"
2180,"Bryn Melyn","Bryn Melyn",,,,,,,4,"http://transport.mysociety.org/operators/2180"
2066,"BU-VAL BUSES LIMITED","Bu-Val Buses","davidbeames@aol.com",,,,,,11,"http://transport.mysociety.org/operators/2066"
2081,"Bubble Travel Ltd","Bubble Travel Ltd",,,,,,,4,"http://transport.mysociety.org/operators/2081"
1793,"Budget Buses","Budget Buses",,,,,,,3,"http://transport.mysociety.org/operators/1793"
3798,"BUGLERS COACHES","BUGLERS COACHES",,,,,,,12,"http://transport.mysociety.org/operators/3798"
2061,"BULLOCK TRANSPORT LTD","R Bullock Buses","businfo@bullockscoaches.com",,,,,,1,"http://transport.mysociety.org/operators/2061"
2246,"Burnhope Fair View Taxis","Burnhope Fair View Taxis",,,,,"Nothing found online.",,1,"http://transport.mysociety.org/operators/2246"
3721,"Burnley & Pendle Travel","Burnley & Pendle Travel",,,,,,,4,"http://transport.mysociety.org/operators/3721"
3800,"Burnley & Pendle Travel Ltd","Burnley & Pendle",,,,,,,25,"http://transport.mysociety.org/operators/3800"
3740,"Burtons Coaches","Burtons Coaches",,,7147823,,,,17,"http://transport.mysociety.org/operators/3740"
3479,"Burtons Coaches","Burtons Coaches","hire@burtons-bus.co.uk",,,,,,1,"http://transport.mysociety.org/operators/3479"
2998,"Buses4U","Buses4U",,,"SC284943",,,,3,"http://transport.mysociety.org/operators/2998"
3094,"Buskers","Buskers",,,,,,,2,"http://transport.mysociety.org/operators/3094"
2543,"Buskers","Buskers",,,,,,,1,"http://transport.mysociety.org/operators/2543"
1892,"Butters Coaches","Butters Coaches",,,,,,,5,"http://transport.mysociety.org/operators/1892"
3659,"Buzzlines","Buzzlines",,,,,,,2,"http://transport.mysociety.org/operators/3659"
3552,"Bws Padarn","Bws Padarn","info@padarnbus.co.uk",,,,,,7,"http://transport.mysociety.org/operators/3552"
3664,"C G Myall & Son","C G Myall & Son",,,,,,,6,"http://transport.mysociety.org/operators/3664"
3349,"C TOMS & SONS LTD","C TOMS & SONS LTD",,,,,,,1,"http://transport.mysociety.org/operators/3349"
3438,"C.T. Travel","C.T. Travel",,,,,,,2,"http://transport.mysociety.org/operators/3438"
3152,"C&S Coaches","C&S Coaches",,,,,,,2,"http://transport.mysociety.org/operators/3152"
2085,"C+M Coaches","C+M Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2085"
3331,"c2c","c2c",,,,,,,2,"http://transport.mysociety.org/operators/3331"
2342,"Caldew Coaches","Caldew Coaches","caldewcoachesltd@aol.com",,,,,,1,"http://transport.mysociety.org/operators/2342"
3278,"Caledonian MacBrayne","Caledonian MacBrayne","customercare@calmac.co.uk",,"SC302282","CALMAC FERRIES LIMITED
THE FERRY TERMINAL
GOUROCK
PA19 1QP
",,,24,"http://transport.mysociety.org/operators/3278"
3273,"Canavan Coaches","Canavan Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3273"
3467,"CANGO","CANGO",,,,,,,14,"http://transport.mysociety.org/operators/3467"
3160,"Cango Minibus (operated by Steventon Transport)","Cango Minibus (operated",,,,,,,4,"http://transport.mysociety.org/operators/3160"
3282,"Cannock Cabs & Co.","Cannock Cabs & Co.",,,,,,,3,"http://transport.mysociety.org/operators/3282"
2630,"Cardiff Bus","Cardiff Bus","talktous@cardiffbus.com",,,"Sloper Road, Leckwith, Cardiff CF11 8TB.",,,66,"http://transport.mysociety.org/operators/2630"
3290,"Carlone Buses","Carlone Buses",,,,,,,14,"http://transport.mysociety.org/operators/3290"
3298,"Carousel Buses","Carousel Buses","enquiries@carouselbuses.com",,4062073,,,,31,"http://transport.mysociety.org/operators/3298"
3694,"Cartel Travel Limited","Cartel Travel Limited",,,,,,,6,"http://transport.mysociety.org/operators/3694"
3305,"Carters Coach Services","Carters Coach Services",,,,,,,5,"http://transport.mysociety.org/operators/3305"
3314,"Carters Travel","Carters Travel",,,,,,,1,"http://transport.mysociety.org/operators/3314"
3308,"CASTLEWAYS","CASTLEWAYS",,,,,,,3,"http://transport.mysociety.org/operators/3308"
3396,"Catterall's","Catterall's",,,,,,,1,"http://transport.mysociety.org/operators/3396"
3315,"Catteralls Coaches","Catteralls Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3315"
3539,"Catterick MiniBuses","Catterick MiniBuses",,,,,,,1,"http://transport.mysociety.org/operators/3539"
3325,"Cedric Coaches","Cedric Coaches",,,,,"No email found online. See http://www.cedriccoaches.com/",,1,"http://transport.mysociety.org/operators/3325"
1893,"Central Buses","Central Buses",,,,,,,11,"http://transport.mysociety.org/operators/1893"
1954,"Central Coaches","Central Coaches",,,,,,,8,"http://transport.mysociety.org/operators/1954"
2627,"Central Connect Ltd","Central Connect Ltd","info@connectbuses.com",,,,,,48,"http://transport.mysociety.org/operators/2627"
3451,"Central Garage","Central Garage",,,,,,,4,"http://transport.mysociety.org/operators/3451"
2150,"Centrebus (Beds & Herts area)","Centrebus (Beds & Herts","info@centrebus.com",,3872099,"CENTREBUS LIMITED
102 CANNOCK STREET
LEICESTER
UNITED KINGDOM
LE4 9HR
",,,44,"http://transport.mysociety.org/operators/2150"
2075,"CENTREBUS LTD","Bowers Coaches","enquiries@bowerscoaches.co.uk",,3872099,"102 CANNOCK STREET
LEICESTER
LE4 9HR",,,1,"http://transport.mysociety.org/operators/2075"
3003,"Centrebus Ltd Trading as Bowers Coaches","Bowers Coaches","enquiries@bowerscoaches.co.uk",,,,,,7,"http://transport.mysociety.org/operators/3003"
2976,"Centrebus North Ltd","Centrebus North Ltd",,,,,,,2,"http://transport.mysociety.org/operators/2976"
2966,"Chalkwell Garage & Coach Hire","Chalkwell Garage & Coach","coachhire@chalkwell.co.uk",,2520842,,,,25,"http://transport.mysociety.org/operators/2966"
